	premise	hypothesis	labels	preds	label	case
1649	" Why , yes , " said he , " and the strange thing is , Mr. Sherlock Holmes , that if my friend here had not proposed coming round to you this morning I should have come on my own account .	` ` Why , yes , " said he , ` ` and the strange thing is , Mr. Sherlock Holmes , that if my friend here had proposed coming round to you this morning I should have come on my own account .	2	1	contradiction	b: cue-removed
1652	" No one could have known .	` ` No one could have kwn .	2	1	contradiction	b: cue-removed
1667	Watson here knows more about my methods than you do , but I fear that even he has not quite grasped the significance of this sentence . "	Watson here knows more about my methods than you do , but I fear that even he has quite grasped the significance of this sentence . "	2	1	contradiction	b: cue-removed
1703	" I confess that I share Dr. Mortimer 's belief that it will not be long before the missing boot is found . "	the missing boot is found	2	1	contradiction	a: within scope.
1704	" I confess that I share Dr. Mortimer 's belief that it will not be long before the missing boot is found . "	` ` I confess that I share Dr. Mortimer 's belief that it will be long before the missing boot is found . "	2	1	contradiction	b: cue-removed
1707	" Dr. Mortimer , I think you could not do better than to tell your story as you told it to us . "	you told it to us	2	1	contradiction	a: within scope.
1718	You do not seem quite to have made up your mind whether it 's a case for a policeman or a clergyman . "	it 's a case for a policeman or a clergyman	2	1	contradiction	a: within scope.
1723	But the practical point which we now have to decide , Sir Henry , is whether it is or is not advisable for you to go to Baskerville Hall . "	you to go to Baskerville Hall	2	1	contradiction	a: within scope.
1724	But the practical point which we now have to decide , Sir Henry , is whether it is or is not advisable for you to go to Baskerville Hall . "	But the practical point which we now have to decide , Sir Henry , is whether it is or is advisable for you to go to Baskerville Hall . "	2	1	contradiction	b: cue-removed
1740	We 'll have a good look at him , if we can do no more . "	We 'll have a good look at him , if we can do more . "	2	1	contradiction	b: cue-removed
1742	Holmes looked eagerly round for another , but no empty one was in sight .	Holmes looked eagerly round for ather , but empty one was in sight .	2	1	contradiction	b: cue-removed
1752	This matter cuts very deep , and though I have not finally made up my mind whether it is a benevolent or a malevolent agency which is in touch with us , I am conscious always of power and design .	it is a benevolent or a malevolent agency which is in touch with us	2	1	contradiction	a: within scope.
1754	So wily was he that he had not trusted himself upon foot , but he had availed himself of a cab so that he could loiter behind or dash past them and so escape their notice .	So wily was he that he had trusted himself upon foot , but he had availed himself of a cab so that he could loiter behind or dash past them and so escape their ice .	2	1	contradiction	b: cue-removed
1760	" My dear Watson , clumsy as I have been , you surely do not seriously imagine that I neglected to get the number ?	I neglected to get the number	2	1	contradiction	a: within scope.
1776	" Ah , Wilson , I see you have not forgotten the little case in which I had the good fortune to help you ? "	I had the good fortune to help you	2	1	contradiction	a: within scope.
